County,Resource Type,Organization,Website,Phone,Address
Bucks,Parent Organization Secondary Schools,Tinicum Elementary School; PTA,https://tm.palisd.org/,(610) 847-5131 Ext: 7,"162 E. Dark Hollow RoaPipersville, PA 18947"
Bucks,Parent Organization Secondary Schools,Wrightstown Elementary School; PTO,https://www.crsd.org/wrightstownes,(215) 944-2300,"729 Penns Park RoadWrightstown, PA 18940"
Bucks,Parent Organization Secondary Schools,Bridge Valley Elementary School; HSA,https://www.cbsd.org/,(267) 893-3700,"2280 Sugar Bottom RoadFurlong, PA 18925"
Bucks,Parent Organization Secondary Schools,Herbert Hoover Elementary School; PTO,https://www.neshaminy.org/Page/1,(215) 809-6340,"501 Trenton RoadLanghorne, PA 19047"
Delaware,Parent Organization Secondary Schools,Lynnewood Elementary School; PTO,https://www.haverford.k12.pa.us/,(610) 853-5900 Ext: 4000,"1400 Lawrence RoadHavertown, PA 19083"
Delaware,Parent Organization Secondary Schools,Chestnutwold Elementary School; PTO,https://www.haverford.k12.pa.us/,Ext: 8000,"630 Lorraine StreetArdmore, PA 19003"
Bucks,Parent Organization Secondary Schools,South Middle School; SCN,https://www.pennridge.org/,(215) 257-0467,"610 S. Fifth StreetPerkasie, PA 18944"
Bucks,Parent Organization Secondary Schools,Butler Elementary School; PTO,https://www.cbsd.org/,(267) 893-4250,"200 Brittany DriveChalfont, PA 18914"
Delaware,Parent Organization Secondary Schools,Manoa Elementary School; PTO,https://www.haverford.k12.pa.us/,(610) 853-5900 Ext: 6000,"201 South Manoa RoadHavertown, PA 19083"
Northampton,Parent Organization Secondary Schools,Ada B. Cheston Elementary School; PTA,https://cheston.eastonsd.org/#,(610) 250-2542,"723 Coal StreetEaston, PA 18042"
Bucks,Parent Organization Secondary Schools,North Middle School; NCN,https://www.pennridge.org/,(215) 453-6932,"1500 N. Fifth StreetPerkasie, PA 18944"
Bucks,Parent Organization Secondary Schools,Central Middle School; PTO,https://www.pennridge.org/,(215) 258-0939,"144 North Walnut StreetPerkasie, PA 18944"
Bucks,Parent Organization Secondary Schools,Tawanka Elementary School; PTO,https://www.neshaminy.org/Page/1,(215) 809-6310,"2055 Brownsville RoadLanghorne, PA 19053"
Bucks,Parent Organization Secondary Schools,General Nash Elementary School; HSA,https://nash.npenn.org/,(215) 368-2407,"1560 Liberty Bell DriveHarleysville, PA 19438"
Lehigh,Parent Organization Secondary Schools,Slatington Elementary School; PTO; Northern Legigh School District,https://www.nlsd.org/domain/164     https://www.nlpto.org/,(610) 767-9821,"1201 Shadow Oaks LaneSlatington, PA 18080"
Northampton,Parent Organization Secondary Schools,Nazereth Area Intermediate School; PTO,https://www.nazarethasd.k12.pa.us/,(484) 292-1111,"355 Tatamy RoadNazareth, PA 18064"
Bucks,Parent Organization Secondary Schools,Palisades Middle School; PTO,https://ms.palisd.org/,(610) 847-5131 Ext: 1,"4710 Durham RoadKintnersville, PA 18930"
Lehigh,Parent Organization Secondary Schools,Ramos Elementary School; PTO,https://lar.allentownsd.org/,(484) 765-4840,"1430 West Allen StreetAllentown, PA 18102"
Lehigh,Parent Organization Secondary Schools,Joseph P. Liberati Intermediate School; PTG,https://www.slsd.org/,(610) 861-4040,"5438 Route 378Bethlehem, PA 18015"
Bucks,Parent Organization Secondary Schools,Pine Run Elementary School; HSA,https://www.cbsd.org/,(267) 893-4450,"383 West Butler AvenueNew Britain, PA 18901"
Bucks,Parent Organization Secondary Schools,Paul W. Kutz Elementary School; HSA,https://www.cbsd.org/,(267) 893-3900,"1950 Turk RoadRD #3Doylestown, PA 18901"
Northampton,Parent Organization Secondary Schools,Floyd R. Shafer Elementary School; PTA,https://www.nazarethasd.k12.pa.us/,(610) 759-5228,"49 South Liberty StreetNazareth, PA 18064"
Northampton,Parent Organization Secondary Schools,Wind Gap Middle School; PTO; Pen Argyl Area School District,https://www.penargylschooldistrict.org/penargyl/,(610) 863-3191,"1620 Teels RoadPen Argyl, PA 18072"
Lehigh,Parent Organization Secondary Schools,Springhouse Middle School; PTO,https://www.parklandsd.org/,(610) 351-5700,"1200 Springhouse RoadAllentown, PA 18104"
Delaware,Parent Organization Secondary Schools,Swarthmore-Rutledge School; HSA,https://www.wssd.org/,(610) 892-3470,"100 College Ave.Swarthmore, PA 19081"
Northampton,Parent Organization Secondary Schools,Paxinosa Elementary School; PTA,https://paxinosa.eastonsd.org/#,(610) 250-2551,"1221 Northampton StreetEaston, PA 18042"
Bucks,Parent Organization Secondary Schools,Davis Elementary School; PTO,https://daes.centennialsd.org/,(215) 441-6000 Ext: 15010,"475 Maple AveSouthampton, PA 18966"
Delaware,Parent Organization Secondary Schools,Bell Avenue Elementary School; HSA,https://bellave.williampennsd.org/    https://www.facebook.com/profile.php?id=100064450641598,(610) 284-6100,"1000 Bell AvenueYeadon, PA 19050"
Lehigh,Parent Organization Secondary Schools,Hopewell Elementary School; PTO,https://www.slsd.org/,(610) 791-0200,"4625 West Hopewell RoadCenter Valley, PA 18034"
Lehigh,Parent Organization Secondary Schools,Liberty Bell Elementary School; PTA,https://www.slsd.org/,(610) 282-1850,"960 West Oxford StreetCoopersburg, PA 18036"
Bucks,Parent Organization Secondary Schools,Klinger Middle School; HSA,https://klms.centennialsd.org/,(215) 441-6000 Ext: 13010,"1415 Second Street PikeSouthampton, PA 18966"
Northampton,Parent Organization Secondary Schools,Northampton Borough Elementary School; PTA,https://www.nasdschools.org/,(610) 262-6430,"1677 Lincoln AvenueNorthampton, PA 18067"
Delaware,Parent Organization Secondary Schools,Wayne Elementary School; PTO,https://wes.rtsd.org/,(610) 687-8480,"651 West Wayne AvenueWayne, PA 19087"
Lehigh,Parent Organization Secondary Schools,Wescosville Elementary School; PTO,https://www.eastpennsd.org/,(610) 395-5851,"1064 Liberty LaneWescosville, PA 18106"
Bucks,Parent Organization Secondary Schools,Penn Valley Elementary School; PTO,https://www.pennsburysd.org/,(215) 949-6800,"180 North Turn LaneLevittown, PA 19054"
Bucks,Parent Organization Secondary Schools,Richland Elementary School; PTO,https://res.qcsd.org/,(215) 529-2450,"500 Fairview AvenueQuakertown, PA 18951"
Bucks,Parent Organization Secondary Schools,Manor Elementary School; PTO,https://www.pennsburysd.org/,(215) 949-6770,"401 Penn Valley RoadLevittown, PA 19054"
Bucks,Parent Organization Secondary Schools,Walt Disney Elementary School; PTO,https://www.pennsburysd.org/,(215) 949-6868,"200 Lakeside Drive NorthLevittown, PA 19054"
Bucks,Parent Organization Secondary Schools,Makefield Elementary School; PTO,https://www.pennsburysd.org/,(215) 321-2420,"1939 Makefield RoadYardley, PA 19067"
Lehigh,Parent Organization Secondary Schools,Willow Lane Elementary School; PTO,https://www.eastpennsd.org/,(484) 519-3300,"6135 Sauerkraut LaneMacungie, PA 18062"
Lehigh,Parent Organization Secondary Schools,Shoemaker Elementary School; PTO,https://www.eastpennsd.org/,(610) 965-1626,"4068 N. Fairview StreetMacungie, PA 18062"
Lehigh,Parent Organization Secondary Schools,Alburtis Elementary School; PTO,https://www.eastpennsd.org/,(610) 965-1633,"222 West Third StreetAlburtis, PA 18011"
Delaware,Parent Organization Secondary Schools,Springton Lake Middle School; PTG,https://www.rtmsd.org/,(610) 627-6500,"1900 N. Providence RoadMedia, PA 19063"
Delaware,Parent Organization Secondary Schools,Chatham Park Elementary School; HSA,https://www.haverford.k12.pa.us/,(610) 853-5900 Ext: 1000,"400 Allston RoadHavertown, PA 19083"
Lehigh,Parent Organization Secondary Schools,Salisbury Township Elementary School; PTO,https://www.salisburysd.org/,(610) 791-2800,"1400 Gaskill AvenueAllentown, PA 18103"
Bucks,Parent Organization Secondary Schools,Pennbrook Middle School; HSA,https://pennbrook.npenn.org/,(215) 699-9287,"1201 North Wales RoadNorth Wales, PA 19454"
Delaware,Parent Organization Secondary Schools,Radnor Middle School; PTO,https://rms.rtsd.org/,(610) 386-6300,"150 Louella AvenueWayne, PA 19087"
Delaware,Parent Organization Secondary Schools,Walter M. Senkow Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 957-5114,"15 East Lamont AvenueGlenolden, PA 19036"
Delaware,Parent Organization Secondary Schools,Bywood Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 352-6842,"330 Avon RoadUpper Darby, PA 19082"
Tioga,Parent Organization Secondary Schools,Charlotte Lappla Elementary School; Wellsboro Elementary PTO,https://www.wellsborosd.org/,(570) 724-1941,"32 Meade StreetWellsboro, PA 16901"
Delaware,Parent Organization Secondary Schools,Westbrook Park Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 626-9363,"199 Westbrook DriveClifton Heights, PA 19018"
Delaware,Parent Organization Secondary Schools,Chichester School District;  Hilltop Elementary School; PTO,https://he.chichestersd.org/,(610) 485-6881,"401 Cherry Tree RoadAston, PA 19014"
Delaware,Parent Organization Secondary Schools,Colwyn Elementary School; HsA,https://colwyn.williampennsd.org/,(610) 957-5470,"211 Pine StreetColwyn, PA 19023"
Delaware,Parent Organization Secondary Schools,Northley Middle School; PTL,https://www.pdsd.org/,(610) 497-6300,"2801 Concord RoadAston, PA 19014"
Delaware,Parent Organization Secondary Schools,Evans Elementary School; HSA,https://evans.williampennsd.org/,(610) 623-5975,"900 Baily RoadYeadon, PA 19050"
Bucks,Parent Organization Secondary Schools,Linden Elementary School; HSA,https://www.cbsd.org/,(267) 893-4400,"480 Linden AvenueDoylestown, PA 18901"
Northampton,Parent Organization Secondary Schools,Wilson Area Intermediate School; PTA,https://www.wilsonareasd.org/home,(484) 373-6110,"2400 Firmstone StreetEaston, PA 18042"
Delaware,Parent Organization Secondary Schools,Garrettford Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 626-9168,"3830 Garrett RoadDrexel Hill, PA 19026"
Bucks,Parent Organization Secondary Schools,Newtown Middle School; PTO,https://www.crsd.org/newtownms,(215) 944-2600,"116 Newtown-Richboro RdNewtown, PA 18940"
Delaware,Parent Organization Secondary Schools,Upper Darby Middle School;HSA,https://www.upperdarbysd.org/Domain/4,(610) 853-4580,"3001 State RoadDrexel Hill, PA 19026"
Bucks,Parent Organization Secondary Schools,Fallsington Elementary School; PTO; Pennsbury School District,https://www.pennsburysd.org/,(215) 428-4170,"134 Yardley AvenueFallsington, PA 19054"
Bucks,Parent Organization Secondary Schools,William Penn Middle School; PTO,https://www.pennsburysd.org/,(215) 428-4280,"1524 Derbyshire RoadYardley, PA 19067"
Delaware,Parent Organization Secondary Schools,Sun Valley High School; PTL,https://www.pdsd.org/,(610) 497-6300,"2881 Pancoast AvenueAston, PA 19014"
Lehigh,Parent Organization Secondary Schools,Northwestern Elementary School; Elementary School PIE; Northwestern Lehigh High School; High School PTO; Northwestern Lehigh School District;,https://www.nwlehighsd.org/,(610) 298-8661,"6493 Route 309New Tripoli, PA 18066"
Delaware,Parent Organization Secondary Schools,Penncrest High School; PTG,https://www.rtmsd.org/,(610) 627-6200,"134 Barren RoadMedia, PA 19063"
Northampton,Parent Organization Secondary Schools,Easton Area Middle School; PTA,https://eams.eastonsd.org/#,(610) 250-2460,"1010 Echo TrailEaston, PA 18040"
Bucks,Parent Organization Secondary Schools,Holland Middle School; PTO,https://www.crsd.org/hollandms,(215) 944-2700,"400 E Holland RdHolland, PA 18966"
Bucks,Parent Organization Secondary Schools,Neidig Elementary School; PAL,https://nes.qcsd.org/,(215) 529-2360,"201 Penrose StreetQuakertown, PA 18951"
Northampton,Parent Organization Secondary Schools,Nazareth Area Middle School; PTSA,https://www.nazarethasd.k12.pa.us/,(610) 759-3350,"94 Friedenstahl AvenueNazareth, PA 18064"
Lycoming,Parent Organization Secondary Schools,Montgomery Junior Senior High School; JSHS PTO; Montgomery Elementary School; ES PTO; Montgomery Area PTO; Montgomery Area School district,https://www.montasd.org/,(570) 547-1608,"120 Penn StreetMontgomery, PA 17752"
Bucks,Parent Organization Secondary Schools,Pennfield Middle School; HSA,https://pennfield.npenn.org/,(215) 368-9600,"726 Forty Foot RoadHatfield, PA 19440"
Delaware,Parent Organization Secondary Schools,E.T. Richardson Middle School; HSA,https://www.ssdcougars.org/,(610) 938-6300,"20 West Woodland AvenueSpringfield, PA 19064"
Bucks,Parent Organization Secondary Schools,Mill Creek Elementary School; PTO,https://www.cbsd.org/,(267) 893-3600,"638 Bellflower BoulevardWarrington, PA 18976"
Bucks,Parent Organization Secondary Schools,Charles Boehm Middle School; PTO,https://www.pennsburysd.org/,(215) 428-4220,"866 Big Oak RoadYardley, PA 19067"
Bucks,Parent Organization Secondary Schools,Penndale Middle School; HSA,https://penndale.npenn.org/,(215) 368-2700,"400 Penn StreetLansdale, PA 19446"
Lehigh,Parent Organization Secondary Schools,Orefield Middle School; PTO,https://www.parklandsd.org/,(610) 351-5750,"2675 PA Route 309Orefield, PA 18069"
Bucks,Parent Organization Secondary Schools,Pfaff Elementary School; PTO,https://pes.qcsd.org/,(215) 529-2850,"1600 Sleepy Hollow RoadQuakertown, PA 18951"
Lycoming,Parent Organization Secondary Schools,Donald E. Schick Elementary; PTO,https://www.ltsd.k12.pa.us/schools/loyalsock-township-high-school/,(570) 326-3554,"2800 Four Mile DriveMontoursville, PA 17754"
Bucks,Parent Organization Secondary Schools,Groveland Elementary School; HSA,https://www.cbsd.org/,(267) 893-4600,"1100 North Easton RoadDoylestown, PA 18902"
Northampton,Parent Organization Secondary Schools,Northampton Area Middle School; PTA,https://www.nasdschools.org/,(610) 262-7817,"1617 Laubach AvenueNorthampton, PA 18067"
Bucks,Parent Organization Secondary Schools,Afton Elementary School; PTO,https://www.pennsburysd.org/,(215) 321-8540,"1673 Quarry RoadYardley, PA 19067"
Bucks,Parent Organization Secondary Schools,Keystone Elementary School; PTC,https://keystone.bristoltwpsd.org/,(267) 599-2470,"1800 Keystone StreetCroydon, PA 19021"
Centre,Community Organization,YSB-reunification services,https://ccysb.com/,,"325 W Aaron DriveState College, PA 16803"
Monroe,Primary Care Physician Office/Health Center,Zahra Pediatrics,,(570) 664-8760,"419 King StreetEast Stroudsburg, PA 18301"
Delaware,Parent Organization Secondary Schools,Beverly Hills Middle School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 626-9317,"1400 Garrett RoadUpper Darby, PA 19082"
Delaware,Parent Organization Secondary Schools,Radnor High School; PTO,https://rhs.rtsd.org/,(610) 293-0855,"130 King of Prussia RoadRadnor, PA 19087"
Delaware,Parent Organization Secondary Schools,Springfield High School; HSA; Springfield School District,https://www.ssdcougars.org/,(610) 938-6100,"200 South Rolling RoadSpringfield, PA 19064"
Bucks,Parent Organization Secondary Schools,Quakertown Community High School; PTO,https://hs.qcsd.org/,(215) 529-2060,"600 Park AvenueQuakertown, PA 18951"
Bucks,Parent Organization Secondary Schools,Poquessing Middle School; Middle School PTO;  Joseph Ferderbar Elementary School; Elementary School HSA,https://www.neshaminy.org/Page/1,(215) 809-6210,"300 Heights LaneFeasterville, PA 19053"
Bucks,Parent Organization Secondary Schools,Council Rock High School North; PTO,https://www.crsd.org/crnorth,(215) 944-1300,"62 Swamp RoadNewtown, PA 18940"
Bucks,Parent Organization Secondary Schools,Carl Sandburg Middle School; Middle School PTO; Albert Schweitzer Elementary School; Elementary School PTO,https://www.neshaminy.org/Page/1,(215) 809-6380,"30 Harmony RoadLevittown, PA 19056"
Delaware,Parent Organization Secondary Schools,Haverford High School; PTSA,https://www.haverford.k12.pa.us/        https://hhsptsa.org/,(610) 853-5900 Ext: 2000,"200 Mill RoadHavertown, PA 19083"
Delaware,Parent Organization Secondary Schools,Haverford Middle School; PTO,https://www.haverford.k12.pa.us/,(610) 853-5900 Ext: 5000,"1701 Darby RoadHavertown, PA 19083"
Bucks,Parent Organization Secondary Schools,Council Rock High School South; PTO,https://www.crsd.org/crsouth,(215) 944-1100,"2002 Rock WayHolland, PA 18966"
Bucks,Parent Organization Secondary Schools,Pennsbury High School; PTO,https://www.pennsburysd.org/,(215) 949-6780,"608 South Olds Boulevard - West CampusFairless Hills, PA 19030"
Delaware,Parent Organization Secondary Schools,Upper Darby High School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 622-7000,"601 N. Lansdowne AveDrexel Hill, PA 19026"
Bucks,Parent Organization Secondary Schools,Grandview/Intermediate Schools; Intermediate Schools PTO;  Morrisville Middle/High School; Middle/High School PTO; Morrisville Borough School District,,(215) 736-2681,"550 West Palmer StreetMorrisville, PA 19067"
Northampton,Parent Organization Secondary Schools,Easton Area High School; PTSA,https://eahs.eastonsd.org/#,(610) 250-2481,"2601 William Penn HighwayEaston, PA 18045"
Bucks,Parent Organization Secondary Schools,Neshaminy High School; SPIN,https://www.neshaminy.org/Page/1,(215) 809-6100,"2001 Old Lincoln HighwayLanghorne, PA 19047"
Delaware,Parent Organization Secondary Schools,Penn Wood High School; HSA; William Penn School District,https://pwhs.williampennsd.org/,(610) 284-8080,"100 Green AvenueLansdowne, PA 19050"
